Situacao,,Desatracação,DWT,IMO,SaldoTotal,Chegada,ETB,Operador,Cal.Cheg.,Tons/Dia,Mercadoria,Embarcação,Saldo,JanelaOperacional,Atracação,SaldoOperador,Prancha(t/dia),Programação,LOA,DUV,Realizado,Agência,Sentido,Berço,TipodeOperação,ETA,Cal.Saída,Desatracacao,Bordo,Status,Previsto
AO LARGO,Imp,,,27/11/2024 15:00,,,,"7,43",,,,27/11/2024 16:00,,,,,,ORION,,HARBOR,,"10,26","28.600,000 Tons.",MAP,,,,,,,
AO LARGO,Imp,,,27/11/2024 15:00,,,,"7,43",,,,27/11/2024 16:00,,,,,,ORION,,HARBOR,,"10,26","28.600,000 Tons.",ADUBOS OU FERTILIZANTES C/NITR,,,,,,,
AO LARGO,27,,"44.940,40",9754927,,27/11/2024 12:50,,FORTESOLO,"9,30",,ADUBOS OU FERTILIZANTES C/NITR,ROJEN,,,,,,74921,"185,00",,,AGENCIA MARITIMA NAABSA,Imp,211,,27/11/2024 13:00,"6,30",,,,"15.676,000 Tons."
AO LARGO,Imp,,,27/11/2024 12:50,,,,"6,30",,,,27/11/2024 13:00,,,,,,AGENCIA MARITIMA NAABSA,,HARBOR,,"9,30","17.275,000 Tons.",ADUBOS OU FERTILIZANTES C/NITR,,,,,,,
AO LARGO,28,,"82.094,00",9494113,,26/11/2024 12:30,,FOSPAR,"12,80",,SULFATO DE AMONIO,ATALANTA,,,,,,74897,"228,99",0519152024,,ORION,Imp,200,,26/11/2024 18:00,"7,10",,,,"67.900,000 Tons."
AO LARGO,29,,"35.850,00",9476977,,26/11/2024 12:00,,FORTESOLO,"7,30",,CLORETOS DE POTASSIO,FEDERAL YUKINA,,,,,,74939,"199,98",0530872024,,ORION,Imp,211,,26/11/2024 16:00,"5,09",,,,"6.300,000 Tons."
AO LARGO,Imp,,,26/11/2024 12:00,,,,"5,09",,,,26/11/2024 16:00,,,,,,ORION,,HARBOR,,"7,30","13.216,000 Tons.",CLORETOS DE POTASSIO,,,,,,,
AO LARGO,30,,"37.655,00",9775165,,25/11/2024 22:54,,FORTESOLO,"10,22",,CLORETO DE POTASSIO,UNI HARMONY,,,,,,74899,"179,97",0532012024,,ORION,Imp,211,,25/11/2024 23:00,"6,00",,,,"10.606,000 Tons."
AO LARGO,Imp,,,25/11/2024 22:54,,,,"6,00",,,,25/11/2024 23:00,,,,,,ORION,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,,"10,22","10.013,000 Tons.",CLORETO DE POTASSIO,,,,,,,
AO LARGO,31,,"87.396,00",9959773,,25/11/2024 22:36,,FOSPAR,"12,80",,FERTILIZ.MINER.QUIM.C/NITROGEN,SERENITY DIVA,,,,,,74873,"228,41",0525072024,,LACHMANN,Imp,200,,25/11/2024 22:30,"8,50",,,,"72.650,000 Tons."
AO LARGO,32,,"35.009,00",9561813,,25/11/2024 10:06,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"10,20",,MAP,LUCILIA C,,,,,,74792,"175,60",0503662024,,LBH BRASIL,Imp,209,,25/11/2024 10:06,"7,50",,,,"11.100,000 Tons."
AO LARGO,Imp,,,25/11/2024 10:06,,,,"7,50",,,,25/11/2024 10:06,,,,,,LBH BRASIL,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,,"10,20","11.100,000 Tons.",ADUBOS OU FERTILIZANTES C/NITR,,,,,,,
AO LARGO,Imp,,,25/11/2024 10:06,,,,"7,50",,,,25/11/2024 10:06,,,,,,LBH BRASIL,,HARBOR,,"10,20","20.900,000 Tons.",MAP,,,,,,,
AO LARGO,Imp,,,25/11/2024 10:06,,,,"7,50",,,,25/11/2024 10:06,,,,,,LBH BRASIL,,HARBOR,,"10,20","20.900,000 Tons.",ADUBOS OU FERTILIZANTES C/NITR,,,,,,,
AO LARGO,33,,"61.211,00",9919644,,24/11/2024 23:40,,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,"11,70",,UREIA,ROYAL,,,,,,74943,"199,90",,,ORION,Imp,211,,25/11/2024 07:00,"7,00",,,,"25.400,000 Tons."
